Rank,Major,Early Career Pay,Mid-Career Pay,High Meaning Pay
237,Analytical Chemistry,"$54,800","$92,800",69%
237,Computer Engineering Technology (CET),"$60,100","$92,800",48%
237,Food Science & Technology,"$50,200","$92,800",49%
240,Project Management,"$54,100","$92,700",54%
241,Technical & Scientific Communication,"$48,900","$92,400",40%
242,Finance & Banking,"$52,600","$92,300",51%
243,Hotel Administration,"$61,500","$92,100",43%
243,Mechanical Design,"$57,700","$92,100",49%
245,Biomedical Sciences,"$41,200","$92,000",70%
246,International Trade & Business,"$52,300","$91,900",28%
247,Commerce Economics,"$51,200","$91,800",31%
248,Latin American Studies,"$44,300","$91,700",63%
248,Structural Design & Construction Engineering Technology,"$66,500","$91,700",46%
248,Civil Engineering Technology (CET),"$55,600","$91,700",62%
251,Government & Politics,"$50,000","$91,500",49%
252,Aviation Flight Science (AFL),"$49,900","$91,400",45%
252,Business & Finance,"$52,800","$91,400",49%
252,Marketing,"$49,200","$91,400",39%
255,Applied Statistics,"$62,000","$91,300",46%
255,Biopsychology,"$50,200","$91,300",73%
255,Industrial Technology (IT),"$57,800","$91,300",51%
255,Manufacturing Engineering Technology,"$61,500","$91,300",52%
259,Music Production & Engineering,"$42,100","$91,100",50%
259,Networks & Telecommunications,"$52,900","$91,100",57%
261,Chemistry & Environmental Science,"$46,000","$91,000",67%
261,Microbiology & Immunology,"$51,500","$91,000",68%
263,Accounts,"$57,000","$90,900",42%
263,Risk Management,"$59,600","$90,900",33%
265,Environmental Science & Policy,"$47,300","$90,700",60%
266,Dairy Science,"$49,500","$90,600",72%
266,Sales & Marketing,"$48,500","$90,600",44%
268,Welding Engineering Technology,"$72,000","$90,400",45%
269,Industrial Psychology,"$47,000","$90,200",49%
269,Marketing & Management,"$47,200","$90,200",44%
269,Transportation & Logistics Management,"$52,700","$90,200",47%
272,Marketing Management,"$48,300","$90,100",43%
272,Watershed Hydrology & Management,"$45,500","$90,100",49%
274,Electromechanical Engineering,"$67,100","$90,000",54%
274,Transportation,"$59,100","$90,000",50%
276,Advertising Design,"$49,300","$89,700",29%
276,Management & Finance,"$52,500","$89,700",53%
276,Risk Management & Insurance,"$56,300","$89,700",44%
279,Geology,"$48,200","$89,600",55%
280,Information Assurance,"$55,600","$89,500",58%
280,Political Science,"$47,900","$89,500",48%
282,Philosophy,"$48,700","$89,400",41%
282,Radiation Therapy,"$65,600","$89,400",91%
284,Cell Biology,"$48,200","$89,300",61%
284,French Literature,"$44,200","$89,300",50%
284,Web Design & Development,"$50,600","$89,300",46%
284,Meteorology,"$44,500","$89,300",60%
288,Biological Sciences,"$46,200","$89,200",65%
288,Occupational Therapy (OT),"$55,100","$89,200",90%
290,Environmental Policy Analysis & Planning,"$47,200","$89,100",62%
291,Entrepreneurial Studies,"$46,700","$88,900",35%
291,Financial Accounting,"$53,400","$88,900",51%
291,Political Science/Public Law,"$43,900","$88,900",61%
291,Quality Management,"$53,400","$88,900",64%
295,Aeronautics,"$59,100","$88,800",65%
295,Applied Computer Science,"$62,900","$88,800",48%
297,Accounting,"$51,700","$88,700",42%
297,Broadcasting Technology,"$40,000","$88,700",-
297,Food Science,"$49,900","$88,700",46%
297,Marketing & Communications,"$46,600","$88,700",43%
301,Urban Planning,"$48,100","$88,500",54%
301,Manufacturing Management,"$60,400","$88,500",49%
303,Insurance,"$53,000","$88,400",42%
304,Business Data Analysis,"$60,400","$88,300",38%
304,Environmental Design,"$45,400","$88,300",55%
306,Advertising,"$44,800","$88,200",33%
306,Cinema Studies,"$45,400","$88,200",32%
306,Financial Management,"$51,000","$88,200",51%
309,Advertising & Marketing Communications,"$46,000","$88,100",36%
309,Operations & Supply Chain Management,"$57,800","$88,100",44%
311,Computer Information Management,"$46,800","$88,000",62%
312,Global & International Studies,"$45,900","$87,800",49%
312,Computing & Information Systems (CIS),"$50,800","$87,800",42%
312,Architecture,"$48,300","$87,800",55%
315,Environmental & Natural Resource Economics,"$49,100","$87,600",60%
316,Labor Studies,"$44,100","$87,500",49%
317,Aviation Technology,"$52,600","$87,400",52%
317,Social Ecology,"$46,700","$87,400",60%
319,Classics,"$45,000","$87,300",39%
319,Marketing Communication,"$43,600","$87,300",40%
321,Geographic Information Systems (GIS) & Spatial Analysis,"$51,700","$87,200",56%
321,Organizational Psychology,"$48,300","$87,200",45%
323,European History,"$49,700","$87,100",50%
324,Urban & Regional Planning,"$47,500","$87,000",59%
325,Real Estate Development,"$54,400","$86,800",-
326,Applied Technology,"$52,900","$86,700",60%
326,Entomology,"$44,000","$86,700",-
328,Architectural Engineering Technology,"$49,900","$86,600",59%
328,Public Affairs,"$49,700","$86,600",53%
330,Entrepreneurship,"$51,400","$86,500",45%
331,Business Management & Marketing,"$45,800","$86,400",47%
332,Digital Arts,"$43,200","$86,300",32%
333,Industrial Safety,"$53,200","$86,200",78%
333,Logistics,"$54,800","$86,200",37%
335,Hotel Management,"$44,500","$86,100",44%
336,Cell & Molecular Biology,"$48,900","$86,000",66%
336,Global Business Management,"$53,200","$86,000",51%
338,Technical Management,"$57,800","$85,900",65%
338,Computer & Network Administration,"$54,100","$85,900",47%
340,Police Science,"$53,400","$85,800",-
340,Pre-law,"$44,700","$85,800",46%
342,Business Communication,"$47,600","$85,600",47%
342,Microbiology,"$46,200","$85,600",68%
342,Professional Aeronautics,"$57,700","$85,600",68%
345,Advertising & Promotion,"$42,400","$85,500",45%
346,Network Systems Administration,"$53,500","$85,400",50%
347,Construction Technology,"$55,500","$85,300",47%
348,Electronic & Computer Technology,"$61,300","$85,000",-
348,Marketing & Advertising,"$47,200","$85,000",53%
350,Electronic Systems Technology (EST),"$61,800","$84,900",-
351,International Studies,"$47,500","$84,800",51%
352,Construction Engineering Technology,"$53,000","$84,700",57%
353,Applied Science,"$44,100","$84,600",56%
354,Accounting Information Systems,"$60,000","$84,500",51%
354,Environmental Health,"$48,100","$84,500",72%
354,Technology,"$53,400","$84,500",64%
357,Biosystems Engineering,"$62,000","$84,200",75%
358,Fashion Design,"$44,800","$84,100",26%
359,Agribusiness Management,"$47,600","$84,000",46%
359,German Language,"$48,200","$84,000",41%
361,Professional Pilot Education,"$59,800","$83,900",-
361,Textile Technology,"$51,500","$83,900",31%
363,Manufacturing Systems,"$71,700","$83,600",-
364,Diagnostic Medical Ultrasound,"$60,800","$83,500",70%
364,Marketing & Mass Communications,"$41,800","$83,500",40%
366,General Business,"$47,600","$83,400",52%
366,Computer Graphics Technology (CGT),"$46,800","$83,400",40%
368,Agricultural Systems Technology,"$54,000","$83,300",58%
368,Health Care,"$41,700","$83,300",71%
368,Hospital Administration,"$49,600","$83,300",53%
368,Personal Financial Planning,"$51,200","$83,300",59%
372,Business Technology Management,"$52,900","$83,200",48%
373,Health Policy & Administration,"$48,300","$83,100",65%
374,Math & Science,"$54,400","$82,900",62%
375,Architectural Design,"$46,000","$82,800",59%
375,Environmental Science,"$46,500","$82,800",60%
377,Advertising & Marketing,"$46,300","$82,700",38%
377,Animation,"$43,100","$82,700",36%
379,General Science,"$46,900","$82,600",62%
380,Biology & Chemistry,"$46,700","$82,500",66%
381,American Studies,"$49,000","$82,400",50%
381,Product Design Engineering,"$61,500","$82,400",39%
383,Aviation Maintenance Technology,"$49,800","$82,300",58%
383,Film Studies,"$42,500","$82,300",40%
383,Magazine Journalism,"$44,500","$82,300",26%
386,Web & Digital Media Development,"$48,400","$82,200",34%
387,Digital Media Design,"$45,200","$82,000",36%
387,English Literature,"$45,400","$82,000",45%
387,History & Politics,"$47,200","$82,000",49%
387,Human Biology,"$48,400","$82,000",68%
391,Business Management & Human Resources Management (HRM),"$44,700","$81,900",58%
391,Architectural Technology,"$44,700","$81,900",56%
391,Design,"$49,400","$81,900",41%
391,Philosophy & Religion,"$41,800","$81,900",55%
391,Physiology,"$46,900","$81,900",62%
396,Business Administration,"$49,700","$81,700",50%
396,French Studies,"$49,500","$81,700",53%
396,Land Surveying,"$48,700","$81,700",56%
399,Management,"$49,000","$81,600",48%
400,Geographic Information Systems (GIS),"$47,100","$81,500",53%
400,Interactive Media Design,"$51,800","$81,500",40%
402,Architectural Studies,"$43,100","$81,400",42%
403,Business Administration & Accounting,"$50,300","$81,300",53%
403,Industrial Arts,"$46,500","$81,300",65%
405,Textile Design,"$47,400","$81,200",40%
406,Textile & Apparel Studies,"$43,800","$81,100",28%
407,Accounting & Management,"$49,700","$81,000",53%
408,Nursing Science,"$63,700","$80,900",84%
409,Business Management,"$48,800","$80,800",50%
409,Linguistics,"$49,300","$80,800",45%
411,Agronomy,"$49,100","$80,700",64%
411,Corporate Communications,"$45,300","$80,700",41%
411,Neuroscience,"$47,800","$80,700",59%
414,Communication Studies & Journalism,"$42,500","$80,600",49%
415,Sociology & Organizational Studies,"$48,200","$80,500",54%
416,Nursing,"$61,700","$80,400",84%
417,Toxicology,"$43,800","$80,300",-
417,History,"$45,300","$80,300",46%
417,Agricultural Science,"$46,900","$80,300",57%
420,Biology,"$44,500","$80,200",65%
420,Crop Science,"$45,200","$80,200",67%
420,French Language,"$46,600","$80,200",48%
423,Environmental Studies,"$45,900","$80,100",59%
423,Management (MGT),"$44,800","$80,100",57%
425,Communication,"$45,300","$79,900",45%
426,General & Strategic Management,"$48,900","$79,800",53%
426,Merchandising Management,"$44,200","$79,800",35%
428,Dental Hygiene,"$70,400","$79,600",79%
428,Hydrology,"$45,300","$79,600",-
430,Global Business,"$53,200","$79,500",37%
430,Retail & Consumer Science,"$48,500","$79,500",34%
430,Literature,"$44,400","$79,500",44%
433,Emergency Management,"$49,600","$79,400",78%
433,Interpersonal & Organizational Communication,"$40,300","$79,400",56%
433,Nuclear Medicine,"$57,800","$79,400",84%
436,History & Political Science,"$48,400","$79,300",51%
437,Retail Merchandising,"$48,000","$79,200",33%
438,Agriculture,"$45,300","$79,100",61%
438,Environmental Management,"$47,300","$79,100",61%
438,Professional & Technical Writing,"$46,000","$79,100",46%
441,International Development Studies,"$45,500","$79,000",64%
441,Workforce Education & Development,"$57,100","$79,000",74%
441,Journalism & Mass Communication,"$43,700","$79,000",45%
444,Pre-Medicine,"$48,400","$78,900",65%
445,Bachelor in Science Nursing,"$61,000","$78,800",81%
445,Network Technology,"$54,900","$78,800",57%
447,Theatre & Drama Studies,"$41,500","$78,600",49%
448,Law,"$51,900","$78,500",51%
449,Law Enforcement,"$43,800","$78,400",57%
449,Printing Technology,"$43,800","$78,400",-
